patcnty1,dsch_yr,srcsite1,Discharges,AnnotationCode,AnnotationDesc
Alameda,2012,Acute Inpatient Hospital Care,6978,,
Alameda,2012,Ambulatory Surgery,1873,,
Alameda,2012,Home,107197,,
Alameda,2012,Invalid,1,,
Alameda,2012,Newborn (born in admitting hospital),19207,,
Alameda,2012,Other,2585,,
Alameda,2012,Other Inpatient Hospital Care,780,,
Alameda,2012,Prison/Jail,205,,
Alameda,2012,Residential Care Facility,1971,,
Alameda,2012,Skilled Nursing/Intermediate Care,4650,,
Alameda,2013,Acute Inpatient Hospital Care,6023,,
Alameda,2013,Ambulatory Surgery,819,,
Alameda,2013,Home,103648,,
Alameda,2013,Invalid,6,,
Alameda,2013,Newborn (born in admitting hospital),18930,,
Alameda,2013,Other,3114,,
Alameda,2013,Other Inpatient Hospital Care,829,,
Alameda,2013,Prison/Jail,185,,
Alameda,2013,Residential Care Facility,1766,,
Alameda,2013,Skilled Nursing/Intermediate Care,4440,,
Alameda,2014,Acute Inpatient Hospital Care,5468,,
Alameda,2014,Ambulatory Surgery,307,,
Alameda,2014,Home,102539,,
Alameda,2014,Invalid,10,,
Alameda,2014,Newborn (born in admitting hospital),19282,,
Alameda,2014,Other,3524,,
Alameda,2014,Other Inpatient Hospital Care,774,,
Alameda,2014,Prison/Jail,174,,
Alameda,2014,Residential Care Facility,1515,,
Alameda,2014,Skilled Nursing/Intermediate Care,3991,,
Alameda,2015,Acute Inpatient Hospital Care,5150,,
Alameda,2015,Ambulatory Surgery,233,,
Alameda,2015,Home,103129,,
Alameda,2015,Invalid,2,,
Alameda,2015,Newborn (born in admitting hospital),19077,,
Alameda,2015,Other,2967,,
Alameda,2015,Other Inpatient Hospital Care,738,,
Alameda,2015,Prison/Jail,194,,
Alameda,2015,Residential Care Facility,1556,,
Alameda,2015,Skilled Nursing/Intermediate Care,3906,,
Alameda,2016,Acute Inpatient Hospital Care,5634,,
Alameda,2016,Ambulatory Surgery,216,,
Alameda,2016,Home,103007,,
Alameda,2016,Invalid,20,,
Alameda,2016,Newborn (born in admitting hospital),19237,,
Alameda,2016,Other,3398,,
Alameda,2016,Other Inpatient Hospital Care,793,,
Alameda,2016,Prison/Jail,188,,
Alameda,2016,Residential Care Facility,1476,,
Alameda,2016,Skilled Nursing/Intermediate Care,3617,,
Alameda,2017,Clinic or physicians' office,11751,,
Alameda,2017,Court/Law Enforcement,192,,
