patcnty1,dsch_yr,disp1,Discharges
Alameda,2012,Acute Care at another hospital,3031
Alameda,2012,Acute Care within the admitting hospital,325
Alameda,2012,Died,2907
Alameda,2012,Home Health Service,14623
Alameda,2012,Invalid,3
Alameda,2012,Left Against Medical Advice,1362
Alameda,2012,Other,216
Alameda,2012,Other Care (not SN/IC) at another hospital,2059
Alameda,2012,Other Care with the admitting hospital,494
Alameda,2012,Prison/Jail,338
Alameda,2012,Residential Care facility,1912
Alameda,2012,Routine (Home),103683
Alameda,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1278
Alameda,2012,SN/IC at another facility,13216
Alameda,2013,Acute Care at another hospital,3135
Alameda,2013,Acute Care within the admitting hospital,334
Alameda,2013,Died,2920
Alameda,2013,Home Health Service,13541
Alameda,2013,Invalid,7
Alameda,2013,Left Against Medical Advice,1314
Alameda,2013,Other,232
Alameda,2013,Other Care (not SN/IC) at another hospital,1950
Alameda,2013,Other Care with the admitting hospital,490
Alameda,2013,Prison/Jail,307
Alameda,2013,Residential Care facility,1300
Alameda,2013,Routine (Home),99675
Alameda,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1109
Alameda,2013,SN/IC at another facility,13446
Alameda,2014,Acute Care at another hospital,2990
Alameda,2014,Acute Care within the admitting hospital,206
Alameda,2014,Died,2823
Alameda,2014,Home Health Service,14985
Alameda,2014,Invalid,31
Alameda,2014,Left Against Medical Advice,1378
Alameda,2014,Other,207
Alameda,2014,Other Care (not SN/IC) at another hospital,2005
Alameda,2014,Other Care with the admitting hospital,449
Alameda,2014,Prison/Jail,349
Alameda,2014,Residential Care facility,1243
Alameda,2014,Routine (Home),97055
Alameda,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,630
Alameda,2014,SN/IC at another facility,13233
Alameda,2015,Acute Care,2884
Alameda,2015,Childrens_or_Cancer,289
Alameda,2015,Critical Access Hospital,25
Alameda,2015,Died,2771
Alameda,2015,Disaster_Care_Site,4
Alameda,2015,Home Health Service,16810
Alameda,2015,Hospice_Care,1408
Alameda,2015,Invalid or Blank,51
Alameda,2015,Left Against Medical Advice,1407
Alameda,2015,Not_Defined_Elsewhere,759
Alameda,2015,Other,34
Alameda,2015,Prison/Jail,288
Alameda,2015,Psychiatric_Care,411
Alameda,2015,Rehab,1403
Alameda,2015,Residential Care facility,714
Alameda,2015,Routine (Home),93867
Alameda,2015,Skilled Nursing/Intermediate Care (SN/IC),13827
Alameda,2016,Acute Care,3422
Alameda,2016,Childrens_or_Cancer,88
Alameda,2016,Critical Access Hospital,18
Alameda,2016,Died,2822
Alameda,2016,Home Health Service,17856
Alameda,2016,Hospice_Care,1484
Alameda,2016,Invalid or Blank,4
Alameda,2016,Left Against Medical Advice,1423
Alameda,2016,Not_Defined_Elsewhere,852
Alameda,2016,Other,23
Alameda,2016,Prison/Jail,278
Alameda,2016,Psychiatric_Care,386
Alameda,2016,Rehab,1530
Alameda,2016,Residential Care facility,708
Alameda,2016,Routine (Home),92947
Alameda,2016,Skilled Nursing/Intermediate Care (SN/IC),13745
Alameda,2017,Acute Care,3455
Alameda,2017,Childrens_or_Cancer,71
Alameda,2017,Critical Access Hospital,14
Alameda,2017,Died,2909
Alameda,2017,Disaster_Care_Site,4
Alameda,2017,Home Health Service,18479
Alameda,2017,Hospice_Care,1590
Alameda,2017,Invalid or Blank,1
Alameda,2017,Left Against Medical Advice,1351
Alameda,2017,Not_Defined_Elsewhere,769
Alameda,2017,Other,28
Alameda,2017,Prison/Jail,285
Alameda,2017,Psychiatric_Care,355
Alameda,2017,Rehab,1531
Alameda,2017,Residential Care facility,742
Alameda,2017,Routine (Home),90084
Alameda,2017,Skilled Nursing/Intermediate Care (SN/IC),13682
Alameda,2018,Acute Care,3773
Alameda,2018,Childrens_or_Cancer,62
Alameda,2018,Critical Access Hospital,6
Alameda,2018,Died,2924
Alameda,2018,Home Health Service,17763
Alameda,2018,Hospice_Care,1626
Alameda,2018,Invalid or Blank,1
Alameda,2018,Left Against Medical Advice,1414
Alameda,2018,Not_Defined_Elsewhere,530
Alameda,2018,Other,26
Alameda,2018,Prison/Jail,288
Alameda,2018,Psychiatric_Care,363
Alameda,2018,Rehab,1566
Alameda,2018,Residential Care facility,1038
Alameda,2018,Routine (Home),87283
Alameda,2018,Skilled Nursing/Intermediate Care (SN/IC),13386
Alameda,2019,Acute Care,3662
Alameda,2019,Childrens_or_Cancer,79
Alameda,2019,Critical Access Hospital,8
Alameda,2019,Died,2862
Alameda,2019,Disaster_Care_Site,2
Alameda,2019,Home Health Service,17622
Alameda,2019,Hospice_Care,1695
Alameda,2019,Invalid or Blank,1
Alameda,2019,Left Against Medical Advice,1528
Alameda,2019,Not_Defined_Elsewhere,426
Alameda,2019,Other,32
Alameda,2019,Prison/Jail,302
Alameda,2019,Psychiatric_Care,341
Alameda,2019,Rehab,1579
Alameda,2019,Residential Care facility,921
Alameda,2019,Routine (Home),87356
Alameda,2019,Skilled Nursing/Intermediate Care (SN/IC),13391
Alameda,2020,Acute Care,2930
Alameda,2020,Childrens_or_Cancer,81
Alameda,2020,Critical Access Hospital,1
Alameda,2020,Died,3184
Alameda,2020,Disaster_Care_Site,2
Alameda,2020,Home Health Service,17457
Alameda,2020,Hospice_Care,1847
Alameda,2020,Invalid or Blank,1
Alameda,2020,Left Against Medical Advice,1478
Alameda,2020,Not_Defined_Elsewhere,316
Alameda,2020,Other,26
Alameda,2020,Prison/Jail,284
Alameda,2020,Psychiatric_Care,485
Alameda,2020,Rehab,1386
Alameda,2020,Residential Care facility,452
Alameda,2020,Routine (Home),79270
Alameda,2020,Skilled Nursing/Intermediate Care (SN/IC),10032
Alameda,2021,Acute Care,3305
Alameda,2021,Childrens_or_Cancer,85
Alameda,2021,Critical Access Hospital,13
Alameda,2021,Died,3290
Alameda,2021,Home Health Service,19009
Alameda,2021,Hospice_Care,1878
Alameda,2021,Left Against Medical Advice,1645
Alameda,2021,Not_Defined_Elsewhere,369
Alameda,2021,Other,19
Alameda,2021,Prison/Jail,310
Alameda,2021,Psychiatric_Care,375
Alameda,2021,Rehab,1350
Alameda,2021,Residential Care facility,330
Alameda,2021,Routine (Home),78654
Alameda,2021,Skilled Nursing/Intermediate Care (SN/IC),10810
Alameda,2022,Acute Care,3426
Alameda,2022,Childrens_or_Cancer,72
Alameda,2022,Critical Access Hospital,5
Alameda,2022,Died,3286
Alameda,2022,Home Health Service,19354
Alameda,2022,Hospice_Care,1800
Alameda,2022,Left Against Medical Advice,1631
Alameda,2022,Not_Defined_Elsewhere,312
Alameda,2022,Other,38
Alameda,2022,Prison/Jail,296
Alameda,2022,Psychiatric_Care,440
Alameda,2022,Rehab,1225
Alameda,2022,Residential Care facility,337
Alameda,2022,Routine (Home),79575
Alameda,2022,Skilled Nursing/Intermediate Care (SN/IC),11411
Alameda,2023,Acute Care,3707
Alameda,2023,Childrens_or_Cancer,58
Alameda,2023,Critical Access Hospital,11
Alameda,2023,Died,3061
Alameda,2023,Home Health Service,19240
Alameda,2023,Hospice_Care,1870
Alameda,2023,Invalid or Blank,2
Alameda,2023,Left Against Medical Advice,1998
Alameda,2023,Not_Defined_Elsewhere,417
Alameda,2023,Other,35
Alameda,2023,Prison/Jail,371
Alameda,2023,Psychiatric_Care,518
Alameda,2023,Rehab,1226
Alameda,2023,Residential Care facility,372
Alameda,2023,Routine (Home),82657
Alameda,2023,Skilled Nursing/Intermediate Care (SN/IC),13486
Alpine,2012,Acute Care at another hospital,1
Alpine,2012,Died,2
Alpine,2012,Home Health Service,2
Alpine,2012,Routine (Home),26
Alpine,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1
Alpine,2013,Died,1
Alpine,2013,Home Health Service,1
Alpine,2013,Other Care with the admitting hospital,1
Alpine,2013,Residential Care facility,1
Alpine,2013,Routine (Home),19
Alpine,2013,SN/IC at another facility,1
Alpine,2014,Home Health Service,2
Alpine,2014,Other Care with the admitting hospital,1
Alpine,2014,Residential Care facility,1
Alpine,2014,Routine (Home),13
Alpine,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1
Alpine,2014,SN/IC at another facility,2
Alpine,2015,Acute Care,1
Alpine,2015,Home Health Service,6
Alpine,2015,Routine (Home),22
Alpine,2016,Home Health Service,2
Alpine,2016,Hospice_Care,1
Alpine,2016,Left Against Medical Advice,1
Alpine,2016,Psychiatric_Care,1
Alpine,2016,Routine (Home),20
Alpine,2016,Skilled Nursing/Intermediate Care (SN/IC),3
