patcnty1,dsch_yr,pay_cat1,Discharges
Alameda,2012,County Indigent Program,3609
Alameda,2012,Invalid,24
Alameda,2012,Medi-Cal,30411
Alameda,2012,Medicare,46019
Alameda,2012,Other Government,2274
Alameda,2012,Other Indigent,666
Alameda,2012,Other Payer,297
Alameda,2012,Private Coverage,57841
Alameda,2012,Self-Pay,3636
Alameda,2012,Workers' Compensation,670
Alameda,2013,County Indigent Program,4197
Alameda,2013,Invalid,8
Alameda,2013,Medi-Cal,30926
Alameda,2013,Medicare,44319
Alameda,2013,Other Government,2389
Alameda,2013,Other Indigent,314
Alameda,2013,Other Payer,412
Alameda,2013,Private Coverage,52810
Alameda,2013,Self-Pay,3780
Alameda,2013,Workers' Compensation,605
Alameda,2014,County Indigent Program,694
Alameda,2014,Invalid,6
Alameda,2014,Medi-Cal,37137
Alameda,2014,Medicare,42419
Alameda,2014,Other Government,2189
Alameda,2014,Other Indigent,114
Alameda,2014,Other Payer,653
Alameda,2014,Private Coverage,50847
Alameda,2014,Self-Pay,2984
Alameda,2014,Workers' Compensation,541
Alameda,2015,County Indigent Program,394
Alameda,2015,Invalid,34
Alameda,2015,Medi-Cal,36349
Alameda,2015,Medicare,43720
Alameda,2015,Other Government,2419
Alameda,2015,Other Indigent,49
Alameda,2015,Other Payer,632
Alameda,2015,Private Coverage,50521
Alameda,2015,Self-Pay,2242
Alameda,2015,Workers' Compensation,592
Alameda,2016,County Indigent Program,672
Alameda,2016,Invalid,35
Alameda,2016,Medi-Cal,35820
Alameda,2016,Medicare,43456
Alameda,2016,Other Government,2558
Alameda,2016,Other Indigent,48
Alameda,2016,Other Payer,561
Alameda,2016,Private Coverage,51677
Alameda,2016,Self-Pay,2232
Alameda,2016,Workers' Compensation,527
Alameda,2017,County Indigent Program,686
Alameda,2017,Invalid,22
Alameda,2017,Medi-Cal,33235
Alameda,2017,Medicare,44311
Alameda,2017,Other Government,2535
Alameda,2017,Other Indigent,54
Alameda,2017,Other Payer,573
Alameda,2017,Private Coverage,51394
Alameda,2017,Self-Pay,2031
Alameda,2017,Workers' Compensation,509
Alameda,2018,County Indigent Program,680
Alameda,2018,Invalid,17
Alameda,2018,Medi-Cal,30823
Alameda,2018,Medicare,43950
Alameda,2018,Other Government,2353
Alameda,2018,Other Indigent,46
Alameda,2018,Other Payer,673
Alameda,2018,Private Coverage,51082
Alameda,2018,Self-Pay,1972
Alameda,2018,Workers' Compensation,453
Alameda,2019,County Indigent Program,849
Alameda,2019,Medi-Cal,28803
Alameda,2019,Medicare,44493
Alameda,2019,Other Government,2603
Alameda,2019,Other Indigent,63
Alameda,2019,Other Payer,589
Alameda,2019,Private Coverage,51746
Alameda,2019,Self-Pay,2250
Alameda,2019,Workers' Compensation,409
Alameda,2020,County Indigent Program,814
Alameda,2020,Medi-Cal,27802
Alameda,2020,Medicare,38963
Alameda,2020,Other Government,2368
Alameda,2020,Other Indigent,35
Alameda,2020,Other Payer,438
Alameda,2020,Private Coverage,46506
Alameda,2020,Self-Pay,1919
Alameda,2020,Workers' Compensation,338
Alameda,2021,County Indigent Program,568
Alameda,2021,Invalid/Blank,24
Alameda,2021,Medi-Cal,28619
Alameda,2021,Medicare,40580
Alameda,2021,Other Government,2592
Alameda,2021,Other Indigent,35
Alameda,2021,Other Payer,714
Alameda,2021,Private Coverage,46545
Alameda,2021,Self-Pay,1489
Alameda,2021,Workers' Compensation,276
Alameda,2022,County Indigent Program,502
Alameda,2022,Invalid/Blank,60
Alameda,2022,Medi-Cal,29080
Alameda,2022,Medicare,42959
Alameda,2022,Other Government,2464
Alameda,2022,Other Indigent,30
Alameda,2022,Other Payer,835
Alameda,2022,Private Coverage,45505
Alameda,2022,Self-Pay,1504
Alameda,2022,Workers' Compensation,269
Alameda,2023,County Indigent Program,540
Alameda,2023,Invalid/Blank,43
Alameda,2023,Medi-Cal,32941
Alameda,2023,Medicare,45266
Alameda,2023,Other Government,2900
Alameda,2023,Other Indigent,21
Alameda,2023,Other Payer,273
Alameda,2023,Private Coverage,45410
Alameda,2023,Self-Pay,1402
Alameda,2023,Workers' Compensation,233
Alpine,2012,Medi-Cal,10
Alpine,2012,Medicare,7
Alpine,2012,Private Coverage,15
Alpine,2013,Medi-Cal,8
Alpine,2013,Medicare,5
Alpine,2013,Other Government,2
Alpine,2013,Private Coverage,7
Alpine,2013,Self-Pay,2
Alpine,2014,Medi-Cal,7
Alpine,2014,Medicare,10
Alpine,2014,Private Coverage,2
Alpine,2014,Self-Pay,1
Alpine,2015,Medi-Cal,12
Alpine,2015,Medicare,8
Alpine,2015,Private Coverage,6
Alpine,2015,Self-Pay,3
Alpine,2016,County Indigent Program,1
Alpine,2016,Medi-Cal,6
Alpine,2016,Medicare,14
Alpine,2016,Private Coverage,6
Alpine,2016,Workers' Compensation,1
Alpine,2017,Medi-Cal,16
Alpine,2017,Medicare,7
Alpine,2017,Private Coverage,6
Alpine,2018,Medi-Cal,27
Alpine,2018,Medicare,13
Alpine,2018,Other Government,1
Alpine,2018,Private Coverage,13
Alpine,2018,Self-Pay,3
Alpine,2019,Medi-Cal,15
Alpine,2019,Medicare,4
Alpine,2019,Private Coverage,4
Alpine,2019,Workers' Compensation,1
Alpine,2020,County Indigent Program,2
Alpine,2020,Medi-Cal,9
Alpine,2020,Medicare,5
Alpine,2020,Private Coverage,10
Alpine,2021,County Indigent Program,2
Alpine,2021,Medi-Cal,11
Alpine,2021,Medicare,10
Alpine,2021,Other Government,1
Alpine,2021,Private Coverage,12
Alpine,2021,Self-Pay,1
Alpine,2022,County Indigent Program,1
Alpine,2022,Medi-Cal,7
Alpine,2022,Medicare,4
Alpine,2022,Other Government,3
Alpine,2022,Private Coverage,8
Alpine,2022,Self-Pay,2
Alpine,2023,County Indigent Program,1
Alpine,2023,Medi-Cal,12
Alpine,2023,Medicare,6
Alpine,2023,Private Coverage,6
Amador,2012,County Indigent Program,128
Amador,2012,Medi-Cal,650
Amador,2012,Medicare,2170
Amador,2012,Other Government,293
Amador,2012,Other Indigent,2
Amador,2012,Other Payer,1
Amador,2012,Private Coverage,1024
Amador,2012,Self-Pay,80
Amador,2012,Workers' Compensation,41
Amador,2013,County Indigent Program,139
Amador,2013,Invalid,2
Amador,2013,Medi-Cal,534
Amador,2013,Medicare,2058
Amador,2013,Other Government,269
Amador,2013,Other Indigent,2
Amador,2013,Other Payer,4
Amador,2013,Private Coverage,1016
Amador,2013,Self-Pay,89
Amador,2013,Workers' Compensation,43
Amador,2014,County Indigent Program,14
Amador,2014,Medi-Cal,783
Amador,2014,Medicare,2004
Amador,2014,Other Government,324
Amador,2014,Other Payer,3
Amador,2014,Private Coverage,993
Amador,2014,Self-Pay,66
Amador,2014,Workers' Compensation,30
Amador,2015,County Indigent Program,5
Amador,2015,Medi-Cal,815
Amador,2015,Medicare,2241
Amador,2015,Other Government,346
Amador,2015,Other Payer,8
Amador,2015,Private Coverage,1024
Amador,2015,Self-Pay,49
Amador,2015,Workers' Compensation,46
Amador,2016,County Indigent Program,10
Amador,2016,Medi-Cal,845
Amador,2016,Medicare,2135
Amador,2016,Other Government,430
Amador,2016,Other Indigent,2
Amador,2016,Other Payer,16
Amador,2016,Private Coverage,1044
Amador,2016,Self-Pay,46
Amador,2016,Workers' Compensation,25
Amador,2017,County Indigent Program,10
Amador,2017,Invalid,1
Amador,2017,Medi-Cal,809
Amador,2017,Medicare,2290
Amador,2017,Other Government,459
Amador,2017,Other Indigent,1
Amador,2017,Other Payer,6
Amador,2017,Private Coverage,933
Amador,2017,Self-Pay,39
Amador,2017,Workers' Compensation,21
Amador,2018,County Indigent Program,5
Amador,2018,Invalid,1
Amador,2018,Medi-Cal,727
Amador,2018,Medicare,2380
Amador,2018,Other Government,421
Amador,2018,Other Indigent,2
Amador,2018,Other Payer,13
Amador,2018,Private Coverage,946
Amador,2018,Self-Pay,35
Amador,2018,Workers' Compensation,30
Amador,2019,County Indigent Program,4
Amador,2019,Medi-Cal,719
Amador,2019,Medicare,2336
Amador,2019,Other Government,424
Amador,2019,Other Payer,10
Amador,2019,Private Coverage,970
Amador,2019,Self-Pay,34
Amador,2019,Workers' Compensation,27
Amador,2020,County Indigent Program,2
Amador,2020,Medi-Cal,711
Amador,2020,Medicare,2060
Amador,2020,Other Government,347
Amador,2020,Other Payer,6
Amador,2020,Private Coverage,885
Amador,2020,Self-Pay,55
Amador,2020,Workers' Compensation,27
Amador,2021,County Indigent Program,6
Amador,2021,Invalid/Blank,1
Amador,2021,Medi-Cal,741
Amador,2021,Medicare,2103
Amador,2021,Other Government,330
Amador,2021,Other Payer,5
Amador,2021,Private Coverage,964
Amador,2021,Self-Pay,44
Amador,2021,Workers' Compensation,15
Amador,2022,County Indigent Program,5
Amador,2022,Medi-Cal,732
Amador,2022,Medicare,2148
Amador,2022,Other Government,277
Amador,2022,Other Payer,12
Amador,2022,Private Coverage,913
Amador,2022,Self-Pay,45
Amador,2022,Workers' Compensation,18
Amador,2023,County Indigent Program,5
Amador,2023,Invalid/Blank,1
Amador,2023,Medi-Cal,756
Amador,2023,Medicare,2308
Amador,2023,Other Government,351
Amador,2023,Other Payer,10
Amador,2023,Private Coverage,1034
Amador,2023,Self-Pay,25
Amador,2023,Workers' Compensation,24
Butte,2012,County Indigent Program,1560
Butte,2012,Invalid,31
Butte,2012,Medi-Cal,8143
Butte,2012,Medicare,14818
Butte,2012,Other Government,377
Butte,2012,Other Indigent,53
Butte,2012,Other Payer,20
Butte,2012,Private Coverage,6441
Butte,2012,Self-Pay,785
Butte,2012,Workers' Compensation,149
Butte,2013,County Indigent Program,1798
Butte,2013,Invalid,19
Butte,2013,Medi-Cal,7738
Butte,2013,Medicare,14975
Butte,2013,Other Government,401
Butte,2013,Other Indigent,55
Butte,2013,Other Payer,42
Butte,2013,Private Coverage,6336
Butte,2013,Self-Pay,851
Butte,2013,Workers' Compensation,207
Butte,2014,County Indigent Program,138
Butte,2014,Invalid,1
Butte,2014,Medi-Cal,10317
Butte,2014,Medicare,14768
Butte,2014,Other Government,397
Butte,2014,Other Indigent,31
Butte,2014,Other Payer,13
Butte,2014,Private Coverage,6212
Butte,2014,Self-Pay,486
Butte,2014,Workers' Compensation,142
Butte,2015,County Indigent Program,25
Butte,2015,Invalid,1
Butte,2015,Medi-Cal,10609
Butte,2015,Medicare,15716
Butte,2015,Other Government,605
Butte,2015,Other Indigent,5
Butte,2015,Other Payer,4
Butte,2015,Private Coverage,5908
Butte,2015,Self-Pay,283
Butte,2015,Workers' Compensation,139
Butte,2016,County Indigent Program,42
Butte,2016,Medi-Cal,10925
Butte,2016,Medicare,16120
Butte,2016,Other Government,563
Butte,2016,Other Indigent,7
Butte,2016,Other Payer,8
Butte,2016,Private Coverage,6216
Butte,2016,Self-Pay,285
Butte,2016,Workers' Compensation,116
Butte,2017,County Indigent Program,96
Butte,2017,Invalid,2
Butte,2017,Medi-Cal,10732
Butte,2017,Medicare,16863
Butte,2017,Other Government,587
Butte,2017,Other Indigent,10
Butte,2017,Other Payer,8
Butte,2017,Private Coverage,6161
Butte,2017,Self-Pay,264
Butte,2017,Workers' Compensation,120
Butte,2018,County Indigent Program,90
Butte,2018,Invalid,2
Butte,2018,Medi-Cal,10870
Butte,2018,Medicare,16759
Butte,2018,Other Government,649
Butte,2018,Other Indigent,6
Butte,2018,Other Payer,24
Butte,2018,Private Coverage,6514
Butte,2018,Self-Pay,416
Butte,2018,Workers' Compensation,139
Butte,2019,County Indigent Program,31
Butte,2019,Medi-Cal,9710
Butte,2019,Medicare,15802
Butte,2019,Other Government,560
Butte,2019,Other Indigent,6
Butte,2019,Other Payer,6
Butte,2019,Private Coverage,6378
Butte,2019,Self-Pay,427
Butte,2019,Workers' Compensation,139
Butte,2020,County Indigent Program,19
Butte,2020,Medi-Cal,9201
Butte,2020,Medicare,14268
Butte,2020,Other Government,539
Butte,2020,Other Indigent,7
Butte,2020,Other Payer,11
Butte,2020,Private Coverage,5731
Butte,2020,Self-Pay,402
Butte,2020,Workers' Compensation,84
Butte,2021,County Indigent Program,14
Butte,2021,Medi-Cal,9569
Butte,2021,Medicare,14097
Butte,2021,Other Government,701
Butte,2021,Other Indigent,4
Butte,2021,Other Payer,9
Butte,2021,Private Coverage,6120
Butte,2021,Self-Pay,428
Butte,2021,Workers' Compensation,91
Butte,2022,County Indigent Program,24
Butte,2022,Medi-Cal,8311
Butte,2022,Medicare,13747
Butte,2022,Other Government,528
Butte,2022,Other Indigent,5
Butte,2022,Other Payer,8
Butte,2022,Private Coverage,5835
Butte,2022,Self-Pay,325
Butte,2022,Workers' Compensation,84
Butte,2023,County Indigent Program,41
Butte,2023,Invalid/Blank,1
Butte,2023,Medi-Cal,8756
Butte,2023,Medicare,13391
Butte,2023,Other Government,468
Butte,2023,Other Indigent,2
Butte,2023,Other Payer,7
Butte,2023,Private Coverage,6108
Butte,2023,Self-Pay,202
Butte,2023,Workers' Compensation,88
Calaveras,2012,County Indigent Program,126
Calaveras,2012,Invalid,1
Calaveras,2012,Medi-Cal,880
Calaveras,2012,Medicare,2539
Calaveras,2012,Other Government,87
Calaveras,2012,Other Indigent,13
Calaveras,2012,Other Payer,9
Calaveras,2012,Private Coverage,1171
Calaveras,2012,Self-Pay,100
Calaveras,2012,Workers' Compensation,60
Calaveras,2013,County Indigent Program,151
Calaveras,2013,Medi-Cal,818
Calaveras,2013,Medicare,2430
Calaveras,2013,Other Government,103
Calaveras,2013,Other Indigent,9
Calaveras,2013,Other Payer,20
Calaveras,2013,Private Coverage,1070
Calaveras,2013,Self-Pay,116
Calaveras,2013,Workers' Compensation,56
Calaveras,2014,County Indigent Program,10
Calaveras,2014,Medi-Cal,1057
Calaveras,2014,Medicare,2201
Calaveras,2014,Other Government,92
Calaveras,2014,Other Indigent,2
Calaveras,2014,Other Payer,20
Calaveras,2014,Private Coverage,1105
Calaveras,2014,Self-Pay,63
Calaveras,2014,Workers' Compensation,47
Calaveras,2015,County Indigent Program,5
Calaveras,2015,Medi-Cal,1075
Calaveras,2015,Medicare,2366
Calaveras,2015,Other Government,86
