patcnty1,dsch_yr,race_grp1,Discharges,AnnotationCode,AnnotationDesc
Alameda,2012,Asian/Pacific Islander,27637,,
Alameda,2012,Black,28455,,
Alameda,2012,Hispanic,25162,,
Alameda,2012,Native American/Eskimo/Aleut,467,,
Alameda,2012,Other,6796,,
Alameda,2012,Unknown,1467,,
Alameda,2012,White,55463,,
Alameda,2013,Asian/Pacific Islander,26588,,
Alameda,2013,Black,26578,,
Alameda,2013,Hispanic,24545,,
Alameda,2013,Native American/Eskimo/Aleut,518,,
Alameda,2013,Other,7413,,
Alameda,2013,Unknown,2043,,
Alameda,2013,White,52075,,
Alameda,2014,Asian/Pacific Islander,27118,,
Alameda,2014,Black,26590,,
Alameda,2014,Hispanic,25441,,
Alameda,2014,Native American/Eskimo/Aleut,357,,
Alameda,2014,Other,7973,,
Alameda,2014,Unknown,2034,,
Alameda,2014,White,48071,,
Alameda,2015,Asian/Pacific Islander,27748,,
Alameda,2015,Black,25757,,
Alameda,2015,Hispanic,24906,,
Alameda,2015,Native American/Eskimo/Aleut,355,,
Alameda,2015,Other,8465,,
Alameda,2015,Unknown,1456,,
Alameda,2015,White,48265,,
Alameda,2016,Asian/Pacific Islander,29686,,
Alameda,2016,Black,25469,,
Alameda,2016,Hispanic,25037,,
Alameda,2016,Native American/Eskimo/Aleut,301,,
Alameda,2016,Other,7420,,
Alameda,2016,Unknown,1723,,
Alameda,2016,White,47950,,
Alameda,2017,Asian/Pacific Islander,29856,,
Alameda,2017,Black,24436,,
Alameda,2017,Hispanic,24594,,
Alameda,2017,Native American/Eskimo/Aleut,359,,
Alameda,2017,Other,7643,,
Alameda,2017,Unknown,1751,,
Alameda,2017,White,46711,,
Alameda,2018,Asian/Pacific Islander,30408,,
Alameda,2018,Black,23364,,
Alameda,2018,Hispanic,24425,,
Alameda,2018,Native American/Eskimo/Aleut,273,,
Alameda,2018,Other,7622,,
Alameda,2018,Unknown,1832,,
Alameda,2018,White,44125,,
Alameda,2019,American Indian/Alaska Native,255,,
Alameda,2019,Asian,28051,,
Alameda,2019,Black,22545,,
Alameda,2019,Blank,8,,
Alameda,2019,Hispanic,24755,,
Alameda,2019,Multi-racial,1960,,
Alameda,2019,Native Hawaiian/Other Pacific Islander,2131,,
Alameda,2019,Other,7687,,
Alameda,2019,Unknown,1296,,
Alameda,2019,White,43119,,
Alameda,2020,American Indian/Alaska Native,259,,
Alameda,2020,Asian,24968,,
Alameda,2020,Black,20126,,
Alameda,2020,Blank,6,,
Alameda,2020,Hispanic,24217,,
Alameda,2020,Multi-racial,2319,,
Alameda,2020,Native Hawaiian/Other Pacific Islander,1889,,
Alameda,2020,Other,7091,,
Alameda,2020,Unknown,1257,,
Alameda,2020,White,37100,,
Alameda,2021,American Indian/Alaska Native,264,,
Alameda,2021,Asian,25901,,
Alameda,2021,Black,21357,,
Alameda,2021,Hispanic,24467,,
Alameda,2021,Invalid/Blank,3,,
Alameda,2021,Multi-racial,2345,,
Alameda,2021,Native Hawaiian/Other Pacific Islander,2015,,
Alameda,2021,Other,7091,,
Alameda,2021,Unknown,1192,,
Alameda,2021,White,36807,,
Alameda,2022,American Indian/Alaska Native,250,,
Alameda,2022,Asian,27346,,
Alameda,2022,Black,21319,,
Alameda,2022,Hispanic,25068,,
Alameda,2022,Invalid/Blank,4,,
Alameda,2022,Multi-racial,2117,,
Alameda,2022,Native Hawaiian/Other Pacific Islander,1915,,
Alameda,2022,Other,6990,,
Alameda,2022,Unknown,1113,,
Alameda,2022,White,37086,,
Alameda,2023,American Indian/Alaska Native,318,,
Alameda,2023,Asian,28355,,
Alameda,2023,Black,22435,,
Alameda,2023,Hispanic,26649,,
Alameda,2023,Invalid/Blank,1,,
Alameda,2023,Multi-racial,2276,,
Alameda,2023,Native Hawaiian/Other Pacific Islander,1929,,
Alameda,2023,Other,7251,,
Alameda,2023,Unknown,1249,,
Alameda,2023,White,38566,,
Alpine,2012,Asian/Pacific Islander,,1,Cell suppressed for small numbers
Alpine,2012,Hispanic,,1,Cell suppressed for small numbers
Alpine,2012,Native American/Eskimo/Aleut,,1,Cell suppressed for small numbers
Alpine,2012,Other,3,,
Alpine,2012,White,16,,
Alpine,2013,Hispanic,,1,Cell suppressed for small numbers
Alpine,2013,Native American/Eskimo/Aleut,,1,Cell suppressed for small numbers
Alpine,2013,White,15,,
Alpine,2014,Hispanic,,1,Cell suppressed for small numbers
Alpine,2014,Native American/Eskimo/Aleut,,1,Cell suppressed for small numbers
Alpine,2014,White,11,,
Alpine,2015,Native American/Eskimo/Aleut,,1,Cell suppressed for small numbers
Alpine,2015,Unknown,,2,Cell suppressed for complementary cell
Alpine,2015,White,19,,
Alpine,2016,Hispanic,,1,Cell suppressed for small numbers
Alpine,2016,Native American/Eskimo/Aleut,,1,Cell suppressed for small numbers
Alpine,2016,White,22,,
Alpine,2017,Hispanic,,1,Cell suppressed for small numbers
Alpine,2017,Native American/Eskimo/Aleut,,1,Cell suppressed for small numbers
Alpine,2017,Other,1,,
Alpine,2017,White,17,,
Alpine,2018,Hispanic,,1,Cell suppressed for small numbers
Alpine,2018,Native American/Eskimo/Aleut,,2,Cell suppressed for complementary cell
Alpine,2018,White,37,,
Alpine,2019,American Indian/Alaska Native,,1,Cell suppressed for small numbers
Alpine,2019,Multi-racial,,1,Cell suppressed for small numbers
Alpine,2019,Other,1,,
Alpine,2019,Unknown,2,,
Alpine,2019,White,13,,
Alpine,2020,American Indian/Alaska Native,,1,Cell suppressed for small numbers
Alpine,2020,Other,,2,Cell suppressed for complementary cell
Alpine,2020,White,22,,
Alpine,2021,American Indian/Alaska Native,,1,Cell suppressed for small numbers
Alpine,2021,Hispanic,,1,Cell suppressed for small numbers
Alpine,2021,Unknown,1,,
Alpine,2021,White,31,,
Alpine,2022,American Indian/Alaska Native,,1,Cell suppressed for small numbers
Alpine,2022,Hispanic,,1,Cell suppressed for small numbers
Alpine,2022,Multi-racial,,1,Cell suppressed for small numbers
Alpine,2022,Other,1,,
Alpine,2022,Unknown,2,,
Alpine,2022,White,16,,
Alpine,2023,American Indian/Alaska Native,,1,Cell suppressed for small numbers
Alpine,2023,Hispanic,,1,Cell suppressed for small numbers
Alpine,2023,Multi-racial,,1,Cell suppressed for small numbers
Alpine,2023,Other,,1,Cell suppressed for small numbers
Alpine,2023,White,17,,
Amador,2012,Asian/Pacific Islander,36,,
Amador,2012,Black,42,,
Amador,2012,Hispanic,381,,
Amador,2012,Native American/Eskimo/Aleut,17,,
Amador,2012,Other,36,,
Amador,2012,Unknown,52,,
Amador,2012,White,3825,,
Amador,2013,Asian/Pacific Islander,31,,
Amador,2013,Black,49,,
Amador,2013,Hispanic,359,,
Amador,2013,Native American/Eskimo/Aleut,20,,
Amador,2013,Other,48,,
Amador,2013,Unknown,28,,
Amador,2013,White,3621,,
Amador,2014,Asian/Pacific Islander,34,,
Amador,2014,Black,69,,
Amador,2014,Hispanic,321,,
Amador,2014,Native American/Eskimo/Aleut,23,,
Amador,2014,Other,19,,
Amador,2014,Unknown,48,,
Amador,2014,White,3703,,
Amador,2015,Asian/Pacific Islander,40,,
Amador,2015,Black,70,,
Amador,2015,Hispanic,385,,
Amador,2015,Native American/Eskimo/Aleut,27,,
Amador,2015,Other,37,,
Amador,2015,Unknown,139,,
Amador,2015,White,3836,,
Amador,2016,Asian/Pacific Islander,51,,
Amador,2016,Black,69,,
Amador,2016,Hispanic,322,,
Amador,2016,Native American/Eskimo/Aleut,26,,
Amador,2016,Other,64,,
Amador,2016,Unknown,105,,
Amador,2016,White,3916,,
Amador,2017,Asian/Pacific Islander,46,,
Amador,2017,Black,74,,
Amador,2017,Hispanic,383,,
Amador,2017,Native American/Eskimo/Aleut,43,,
Amador,2017,Other,61,,
Amador,2017,Unknown,110,,
Amador,2017,White,3852,,
Amador,2018,Asian/Pacific Islander,70,,
Amador,2018,Black,90,,
Amador,2018,Hispanic,319,,
Amador,2018,Native American/Eskimo/Aleut,34,,
Amador,2018,Other,62,,
Amador,2018,Unknown,120,,
Amador,2018,White,3865,,
Amador,2019,American Indian/Alaska Native,33,,
Amador,2019,Asian,31,,
Amador,2019,Black,75,,
Amador,2019,Hispanic,363,,
Amador,2019,Multi-racial,73,,
Amador,2019,Native Hawaiian/Other Pacific Islander,13,,
Amador,2019,Other,79,,
Amador,2019,Unknown,38,,
Amador,2019,White,3821,,
Amador,2020,American Indian/Alaska Native,24,,
Amador,2020,Asian,24,,
Amador,2020,Black,49,,
Amador,2020,Hispanic,339,,
Amador,2020,Multi-racial,50,,
Amador,2020,Native Hawaiian/Other Pacific Islander,24,,
Amador,2020,Other,92,,
Amador,2020,Unknown,40,,
Amador,2020,White,3451,,
Amador,2021,American Indian/Alaska Native,25,,
Amador,2021,Asian,26,,
Amador,2021,Black,51,,
Amador,2021,Hispanic,355,,
Amador,2021,Multi-racial,73,,
Amador,2021,Native Hawaiian/Other Pacific Islander,15,,
Amador,2021,Other,108,,
Amador,2021,Unknown,62,,
Amador,2021,White,3494,,
Amador,2022,American Indian/Alaska Native,33,,
Amador,2022,Asian,37,,
Amador,2022,Black,41,,
Amador,2022,Hispanic,337,,
Amador,2022,Multi-racial,47,,
Amador,2022,Native Hawaiian/Other Pacific Islander,15,,
Amador,2022,Other,104,,
Amador,2022,Unknown,50,,
Amador,2022,White,3486,,
Amador,2023,American Indian/Alaska Native,20,,
Amador,2023,Asian,37,,
Amador,2023,Black,79,,
Amador,2023,Hispanic,385,,
Amador,2023,Multi-racial,70,,
Amador,2023,Native Hawaiian/Other Pacific Islander,11,,
Amador,2023,Other,98,,
Amador,2023,Unknown,45,,
Amador,2023,White,3769,,
Butte,2012,Asian/Pacific Islander,704,,
Butte,2012,Black,634,,
Butte,2012,Hispanic,2521,,
Butte,2012,Native American/Eskimo/Aleut,306,,
Butte,2012,Other,589,,
Butte,2012,Unknown,240,,
Butte,2012,White,27383,,
Butte,2013,Asian/Pacific Islander,774,,
Butte,2013,Black,710,,
Butte,2013,Hispanic,2396,,
Butte,2013,Native American/Eskimo/Aleut,366,,
Butte,2013,Other,615,,
Butte,2013,Unknown,256,,
Butte,2013,White,27305,,
Butte,2014,Asian/Pacific Islander,791,,
Butte,2014,Black,653,,
Butte,2014,Hispanic,2381,,
