patcnty1,dsch_yr,Sex,Discharges,AnnotationCode,AnnotationDesc
Alameda,2012,Female,85132,,
Alameda,2012,Male,60305,,
Alameda,2012,"Other, Unknown, Invalid",10,,
Alameda,2013,Female,81215,,
Alameda,2013,Male,58528,,
Alameda,2013,"Other, Unknown, Invalid",17,,
Alameda,2014,Female,80014,,
Alameda,2014,Male,57564,,
Alameda,2014,"Other, Unknown, Invalid",6,,
Alameda,2015,Female,79832,,
Alameda,2015,Male,57102,,
Alameda,2015,"Other, Unknown, Invalid",18,,
Alameda,2016,Female,79399,,
Alameda,2016,Male,58171,,
Alameda,2016,"Other, Unknown, Invalid",16,,
Alameda,2017,Female,78068,,
Alameda,2017,Male,57277,,
Alameda,2017,"Unknown, Invalid",5,,
Alameda,2018,Female,75186,,
Alameda,2018,Male,56844,,
Alameda,2018,"Unknown, Invalid",19,,
Alameda,2019,Female,75235,,
Alameda,2019,Male,56561,,
Alameda,2019,"Unknown, Invalid",11,,
Alameda,2020,Female,67741,,
Alameda,2020,Male,51476,,
Alameda,2020,"Unknown, Invalid",15,,
Alameda,2021,Female,68418,,
Alameda,2021,Male,53010,,
Alameda,2021,"Unknown, Invalid",14,,
Alameda,2022,Female,69276,,
Alameda,2022,Male,53921,,
Alameda,2022,"Unknown, Invalid",11,,
Alameda,2023,Female,71348,,
Alameda,2023,Male,57666,,
Alameda,2023,"Unknown, Invalid",15,,
Alpine,2012,Female,19,,
Alpine,2012,Male,13,,
Alpine,2013,Female,12,,
Alpine,2013,Male,12,,
Alpine,2014,Female,,2,Cell suppressed for complementary cell
Alpine,2014,Male,,1,Cell suppressed for small numbers
Alpine,2015,Female,14,,
Alpine,2015,Male,15,,
Alpine,2016,Female,14,,
Alpine,2016,Male,14,,
Alpine,2017,Female,,2,Cell suppressed for complementary cell
Alpine,2017,Male,,1,Cell suppressed for small numbers
Alpine,2018,Female,41,,
Alpine,2018,Male,16,,
Alpine,2019,Female,,2,Cell suppressed for complementary cell
Alpine,2019,Male,,1,Cell suppressed for small numbers
Alpine,2020,Female,,1,Cell suppressed for small numbers
Alpine,2020,Male,,2,Cell suppressed for complementary cell
Alpine,2021,Female,22,,
Alpine,2021,Male,15,,
Alpine,2022,Female,11,,
Alpine,2022,Male,14,,
Alpine,2023,Female,,1,Cell suppressed for small numbers
Alpine,2023,Male,,2,Cell suppressed for complementary cell
Amador,2012,Female,2211,,
Amador,2012,Male,2178,,
Amador,2013,Female,2142,,
Amador,2013,Male,2014,,
Amador,2014,Female,2160,,
Amador,2014,Male,2057,,
Amador,2015,Female,2312,,
Amador,2015,Male,2222,,
Amador,2016,Female,2290,,
Amador,2016,Male,2263,,
Amador,2017,Female,2332,,
Amador,2017,Male,2237,,
Amador,2018,Female,2258,,
Amador,2018,Male,2302,,
Amador,2019,Female,2276,,
Amador,2019,Male,2250,,
Amador,2020,Female,2090,,
Amador,2020,Male,2003,,
Amador,2021,Female,2192,,
Amador,2021,Male,2017,,
Amador,2022,Female,2119,,
Amador,2022,Male,2030,,
Amador,2022,"Unknown, Invalid",1,,
Amador,2023,Female,2337,,
Amador,2023,Male,2177,,
Butte,2012,Female,18417,,
Butte,2012,Male,13959,,
Butte,2012,"Other, Unknown, Invalid",1,,
Butte,2013,Female,18348,,
Butte,2013,Male,14074,,
Butte,2014,Female,18332,,
Butte,2014,Male,14173,,
Butte,2015,Female,18705,,
Butte,2015,Male,14589,,
Butte,2015,"Other, Unknown, Invalid",1,,
Butte,2016,Female,18988,,
Butte,2016,Male,15293,,
Butte,2016,"Other, Unknown, Invalid",1,,
Butte,2017,Female,19234,,
Butte,2017,Male,15609,,
