patcnty1,dsch_yr,typcare1,Discharges
Alameda,2012,Acute Care,135323
Alameda,2012,Chemical Dependency Recovery Care,432
Alameda,2012,Physical Rehabilitation Care,1397
Alameda,2012,Psychiatric Care,6739
Alameda,2012,Skilled Nursing/Intermediate Care,1556
Alameda,2013,Acute Care,129781
Alameda,2013,Chemical Dependency Recovery Care,373
Alameda,2013,Physical Rehabilitation Care,1381
Alameda,2013,Psychiatric Care,6724
Alameda,2013,Skilled Nursing/Intermediate Care,1501
Alameda,2014,Acute Care,127902
Alameda,2014,Chemical Dependency Recovery Care,469
Alameda,2014,Physical Rehabilitation Care,1404
Alameda,2014,Psychiatric Care,6930
Alameda,2014,Skilled Nursing/Intermediate Care,879
Alameda,2015,Acute Care,127249
Alameda,2015,Chemical Dependency Recovery Care,312
Alameda,2015,Physical Rehabilitation Care,1559
Alameda,2015,Psychiatric Care,7015
Alameda,2015,Skilled Nursing/Intermediate Care,817
Alameda,2016,Acute Care,127880
Alameda,2016,Chemical Dependency Recovery Care,287
Alameda,2016,Physical Rehabilitation Care,1711
Alameda,2016,Psychiatric Care,6866
Alameda,2016,Skilled Nursing/Intermediate Care,842
Alameda,2017,Acute Care,125789
Alameda,2017,Chemical Dependency Recovery Care,313
Alameda,2017,Invalid/Blank,1
Alameda,2017,Physical Rehabilitation Care,1688
Alameda,2017,Psychiatric Care,6762
Alameda,2017,Skilled Nursing/Intermediate Care,797
Alameda,2018,Acute Care,123138
Alameda,2018,Chemical Dependency Recovery Care,282
Alameda,2018,Physical Rehabilitation Care,1753
Alameda,2018,Psychiatric Care,6445
Alameda,2018,Skilled Nursing/Intermediate Care,431
Alameda,2019,Acute Care,123136
Alameda,2019,Chemical Dependency Recovery Care,233
Alameda,2019,Physical Rehabilitation Care,1649
Alameda,2019,Psychiatric Care,6147
Alameda,2019,Skilled Nursing/Intermediate Care,642
Alameda,2020,Acute Care,110995
Alameda,2020,Chemical Dependency Recovery Care,188
Alameda,2020,Invalid/Blank,1
Alameda,2020,Physical Rehabilitation Care,1477
Alameda,2020,Psychiatric Care,5923
Alameda,2020,Skilled Nursing/Intermediate Care,648
Alameda,2021,Acute Care,113831
Alameda,2021,Chemical Dependency Recovery Care,131
Alameda,2021,Invalid/Blank,6
Alameda,2021,Physical Rehabilitation Care,1368
Alameda,2021,Psychiatric Care,5549
Alameda,2021,Skilled Nursing/Intermediate Care,557
Alameda,2022,Acute Care,116378
Alameda,2022,Chemical Dependency Recovery Care,123
Alameda,2022,Invalid/Blank,11
Alameda,2022,Physical Rehabilitation Care,1259
Alameda,2022,Psychiatric Care,4955
Alameda,2022,Skilled Nursing/Intermediate Care,482
Alameda,2023,Acute Care,120047
Alameda,2023,Chemical Dependency Recovery Care,116
Alameda,2023,Physical Rehabilitation Care,1303
Alameda,2023,Psychiatric Care,6976
Alameda,2023,Skilled Nursing/Intermediate Care,587
Alpine,2012,Acute Care,28
Alpine,2012,Physical Rehabilitation Care,1
Alpine,2012,Psychiatric Care,1
Alpine,2012,Skilled Nursing/Intermediate Care,2
Alpine,2013,Acute Care,21
Alpine,2013,Physical Rehabilitation Care,1
Alpine,2013,Psychiatric Care,2
Alpine,2014,Acute Care,14
Alpine,2014,Physical Rehabilitation Care,1
Alpine,2014,Psychiatric Care,4
Alpine,2014,Skilled Nursing/Intermediate Care,1
Alpine,2015,Acute Care,26
Alpine,2015,Psychiatric Care,3
Alpine,2016,Acute Care,26
Alpine,2016,Psychiatric Care,2
Alpine,2017,Acute Care,25
Alpine,2017,Psychiatric Care,4
Alpine,2018,Acute Care,52
Alpine,2018,Physical Rehabilitation Care,1
Alpine,2018,Psychiatric Care,2
Alpine,2018,Skilled Nursing/Intermediate Care,2
Alpine,2019,Acute Care,22
Alpine,2019,Psychiatric Care,2
Alpine,2020,Acute Care,21
Alpine,2020,Psychiatric Care,5
Alpine,2021,Acute Care,27
Alpine,2021,Psychiatric Care,7
Alpine,2021,Skilled Nursing/Intermediate Care,3
Alpine,2022,Acute Care,22
Alpine,2022,Physical Rehabilitation Care,2
Alpine,2022,Psychiatric Care,1
Alpine,2023,Acute Care,23
Alpine,2023,Chemical Dependency Recovery Care,1
Alpine,2023,Psychiatric Care,1
Amador,2012,Acute Care,4230
Amador,2012,Chemical Dependency Recovery Care,3
Amador,2012,Physical Rehabilitation Care,41
Amador,2012,Psychiatric Care,96
Amador,2012,Skilled Nursing/Intermediate Care,19
Amador,2013,Acute Care,3985
Amador,2013,Chemical Dependency Recovery Care,3
Amador,2013,Physical Rehabilitation Care,40
Amador,2013,Psychiatric Care,122
Amador,2013,Skilled Nursing/Intermediate Care,6
Amador,2014,Acute Care,4049
Amador,2014,Physical Rehabilitation Care,60
Amador,2014,Psychiatric Care,103
Amador,2014,Skilled Nursing/Intermediate Care,5
Amador,2015,Acute Care,4350
